,URL
113,https://www.archanaskitchen.com/protein-rich-appetizer-recipes-for-your-dinner-party
115,https://www.archanaskitchen.com/55-mouthwatering-eggless-cake-recipes-that-you-would-love-to-try
116,http://www.archanaskitchen.com/tag/street-food-recipes
117,http://www.archanaskitchen.com/spicy-chilli-garlic-noodles-recipe
118,https://www.archanaskitchen.com/chanar-dalna-recipe-bengali-style-paneer-potato-gravy
120,https://www.archanaskitchen.com/broccoli-nuggets-recipe
121,https://www.archanaskitchen.com/bengali-mooli-aloo-ki-sabzi-in-mustard-gravy-recipe
123,http://www.archanaskitchen.com/beetroot-sambar-recipe-in-hindi
125,https://www.archanaskitchen.com/tag/north-indian-breakfast-recipes
126,http://www.archanaskitchen.com/kaddu-palak-roti-recipe-pumpkin-spinach-flat-bread
127,https://www.archanaskitchen.com/tag/brussel-sprout-recipes
128,https://www.archanaskitchen.com/iranian-baida-curry-recipe
129,http://www.archanaskitchen.com/vegan-chickpea-omelette-recipe-spiced-chickpea-flour-pancakes
130,https://www.archanaskitchen.com/ulundu-kozhukattai-recipe-uppu-kozhukattai-urad-dal-modak
131,http://www.archanaskitchen.com/a-collection-delicious-recipes-you-can-make-using-sabudana
132,http://www.archanaskitchen.com/singapore-style-chicken-layered-fried-rice-recipe
133,https://www.archanaskitchen.com/tofu-pulao-recipe-in-hindi
134,https://www.archanaskitchen.com/recipes/indian/main-course/north-indian-vegetarian-recipes/sabzi-recipes/page-31
135,http://www.archanaskitchen.com/masala-sandwich-recipe-with-rocket-leaves
136,https://www.archanaskitchen.com/tag/coleslaw-recipes
137,http://www.archanaskitchen.com/recipe-collections/page-7
138,http://www.archanaskitchen.com/tomato-relish-recipe
139,http://www.archanaskitchen.com/dubuk-vade-recipe-khandeshi-gram-flour-dumpling-curry
140,https://www.archanaskitchen.com/know-more-about-tamil-nadu-cuisine-and-its-traditional-recipes
143,https://www.archanaskitchen.com/radish-soup-recipe
144,http://www.archanaskitchen.com/mango-donut-cake-with-chocolate-glaze-recipe
145,http://www.archanaskitchen.com/tag/kids-lunch-box-recipes/page-2
146,http://www.archanaskitchen.com/matar-paneer-kachori-korma-recipe-green-peas-and-paneer-kachori-curry
147,http://www.archanaskitchen.com/zucchini-roll-up-lasagne-recipe
148,https://www.archanaskitchen.com/south-indian-thengai-sadam-recipe-a-quick-and-healthy-coconut-rice
149,http://www.archanaskitchen.com/ambade-udid-methi-recipe-karwar-style-hog-plum-curry
150,http://www.archanaskitchen.com/roasted-cauliflower-recipe
152,https://www.archanaskitchen.com/pain-viennois-vienna-bread-recipe
153,http://www.archanaskitchen.com/tag/orange-recipes
154,http://www.archanaskitchen.com/crunchy-ginger-capsicum-rice-recipe
155,https://www.archanaskitchen.com/bengali-chirer-payesh-poha-pudding-recipe-with-nolen-gur
156,http://www.archanaskitchen.com/makhan-recipe-homemade-butter
159,http://www.archanaskitchen.com/shanghai-style-chap-nian-gao-recipes-stir-fried-rice-cakes-recipes
160,http://www.archanaskitchen.com/white-pumpkin-mor-kuzhambu-recipe-kerala-style-white-pumpkin-gravy
161,http://www.archanaskitchen.com/paneer-and-green-peas-paratha-recipe-in-hindi
162,https://www.archanaskitchen.com/senai-pachadi-recipe-elephant-yam-raita-in-hindi
163,https://www.archanaskitchen.com/drunken-noodles-recipe-pad-kee-mao-in-hindi
165,http://www.archanaskitchen.com/chettinad-style-prawn-biryani-recipe
166,https://www.archanaskitchen.com/walnut-and-flax-seed-trail-mix-recipe-with-figs-and-honey
167,http://www.archanaskitchen.com/murgh-malaiwala-recipe-chicken-in-rich-creamy-gravy
168,http://www.archanaskitchen.com/milk-kesari-recipe-south-indian-paal-kesari
173,http://www.archanaskitchen.com/spicy-lemon-chicken-kebab-recipe
174,https://www.archanaskitchen.com/layered-paneer-butter-masala-biryani-recipe-in-hindi
175,https://www.archanaskitchen.com/recipes/indian/main-course/sabzi-recipes/page-24
176,http://www.archanaskitchen.com/tag/mixture-chivda-recipes
177,http://www.archanaskitchen.com/goond-ke-ladoo-recipe-edible-gum-ladoo
178,https://www.archanaskitchen.com/mukhadi-halwa-recipe-semolina-all-purpose-flour-halwa
180,https://www.archanaskitchen.com/kobbari-chaaru-recipe-coconut-milk-dal-sambar-recipe-in-hindi
181,http://www.archanaskitchen.com/tulsi-kashayam-recipe-kaada-herbal-drink-from-tulsi-holi-basil-black-pepper-ginger-and-palm-sugar
182,http://www.archanaskitchen.com/carrot-corn-mayo-pancake-recipe-with-sandwich-spread
185,http://www.archanaskitchen.com/tamil-nadu-style-spicy-egg-fry-recipe
186,https://www.archanaskitchen.com/chirer-dudh-puli-recipe-bengali-style-rice-dumpling-kheer
189,http://www.archanaskitchen.com/appalam-vathal-kuzhambu-recipe-spicy-and-tangy-papad-curry
